hora,temperatura,humedad,alerta
16,12.4,42,1
13,14.88,30,1
19,2.53,76,1
4,6.04,60,0
11,5.93,60,0
15,9.74,51,1
15,3.04,70,0
20,14.03,36,1
6,10.45,42,1
3,7.08,58,0
0,1.88,78,1
4,6.49,62,0
22,3.87,73,0
9,7.63,53,0
21,4.45,60,0
4,13.47,38,1
3,7.31,55,0
1,2.33,70,1
19,0.16,81,1
9,10.35,46,1
18,10.48,42,1
0,1.09,74,1
23,14.31,39,1
4,7.92,60,0
12,9.35,55,1
3,8.26,57,0
15,11.99,43,1
23,2.79,74,1
15,1.83,74,1
22,0.46,79,1
1,3.15,66,0
16,4.94,65,0
19,13.48,41,1
23,5.07,67,0
11,8.81,47,0
17,14.64,37,1
2,6.98,52,0
0,1.76,76,1
0,11.9,41,1
18,1.12,85,1
10,1.92,75,1
4,12.02,48,1
11,13.59,50,1
2,0.54,74,1
0,3.05,73,0
0,3.21,64,0
7,4.39,69,0
9,7.8,65,0
10,0.81,74,1
11,6.55,56,0
12,12.84,41,1
11,6.44,71,0
13,4.36,71,0
1,3.84,64,0
18,4.9,73,0
17,1.61,67,1
2,0.45,89,1
22,13.01,45,1
16,9.41,61,1
7,1.69,67,1
9,13.78,40,1
1,1.26,76,1
18,7.81,52,0
8,7.58,51,0
6,2.49,75,1
3,7.45,61,0
20,10.13,56,1
17,8.11,53,0
12,8.08,55,0
10,8.06,49,0
23,12.7,50,1
3,0.73,78,1
20,6.19,65,0
3,7.05,63,0
9,4.66,73,0
4,11.9,40,1
8,3.03,74,0
23,8.33,55,0
2,10.3,60,1
16,3.78,64,0
2,14.76,42,1
15,0.11,81,1
3,9.52,53,1
17,4.39,67,0
16,13.05,48,1
6,12.67,43,1
23,7.33,50,0
22,10.4,55,1
4,9.6,56,1
11,3.8,72,0
16,0.47,73,1
22,4.38,62,0
12,3.49,60,0
22,6.68,62,0
2,3.04,64,0
8,9.94,42,1
16,2.63,78,1
16,2.24,77,1
19,3.64,67,0
15,9.82,50,1
21,7.61,45,0
12,5.39,68,0
18,8.48,51,0
16,11.04,49,1
3,1.51,63,1
11,8.24,60,0
8,6.18,58,0
18,9.1,46,1
11,12.81,40,1
8,11.17,43,1
6,0.67,83,1
13,1.03,75,1
19,9.94,57,1
18,2.54,74,1
14,5.35,68,0
15,11.54,45,1
20,1.39,82,1
4,13.32,34,1
2,2.57,73,1
11,5.69,61,0
19,0.62,85,1
20,2.52,80,1
3,4.83,65,0
20,5.86,56,0
22,7.07,61,0
15,1.9,66,1
6,6.9,67,0
12,9.6,49,1
20,8.98,53,0
9,8.89,50,0
6,8.73,49,0
13,6.65,64,0
4,9.14,52,1
2,10.73,48,1
22,9.73,46,1
10,6.11,66,0
10,2.46,77,1
17,1.73,74,1
14,6.05,68,0
11,11.71,44,1
8,4.89,69,0
9,14.96,30,1
11,9.28,54,1
16,0.63,77,1
5,14.5,37,1
6,0.57,79,1
13,8.63,55,0
12,9.01,56,1
7,2.72,69,1
9,4.66,69,0
8,11.77,51,1
17,10.34,42,1
1,11.98,40,1
4,7.99,52,0
4,5.73,57,0
5,8.21,53,0
18,8.35,60,0
7,8.46,62,0
15,0.35,79,1
12,2.02,72,1
0,2.44,77,1
21,3.41,58,0
19,8.42,49,0
16,6.01,50,0
6,2.99,66,1
12,12.06,40,1
3,6.23,69,0
3,8.65,40,0
5,8.4,53,0
18,4.98,68,0
11,8.87,55,0
21,2.76,79,1
6,13.24,41,1
9,13.02,43,1
18,2.23,64,1
6,6.85,54,0
2,1.24,67,1
12,3.59,72,0
12,7.17,60,0
17,5.67,65,0
19,8.36,51,0
7,2.43,68,1
8,3.36,71,0
6,13.2,37,1
0,6.75,55,0
2,4.7,63,0
12,8.4,51,0
16,4.08,63,0
23,8.22,49,0
0,6.86,62,0
5,11.28,54,1
20,10.68,48,1
5,2.21,74,1
11,2.37,76,1
12,12.79,43,1
12,11.28,42,1
14,11.37,54,1
20,10.61,44,1
15,7.5,61,0
21,8.9,56,0
20,4.9,56,0
10,12.9,40,1
4,1.7,75,1
3,11.22,47,1
2,9.94,52,1
18,13.34,44,1
19,10.53,48,1
17,7.96,58,0
14,8.08,56,0
8,0.67,73,1
16,3.7,69,0
13,1.36,80,1
14,1.27,82,1
0,4.79,68,0
20,11.73,51,1
21,3.06,73,0
21,4.75,70,0
2,0.46,83,1
15,2.22,72,1
22,6.19,65,0
10,2.49,68,1
11,1.41,78,1
9,8.44,58,0
15,5.82,68,0
7,8.91,57,0
5,3.47,75,0
11,6.78,59,0
23,8.89,52,0
20,4.87,64,0
7,6.86,61,0
3,2.45,64,1
7,1.63,82,1
17,5.17,65,0
4,9.47,50,1
8,8.06,43,0
3,6.29,61,0
21,4.19,66,0
16,13.1,36,1
8,9.13,49,1
0,12.14,43,1
20,6.96,56,0
19,5.09,68,0
12,5.82,59,0
15,12.77,42,1
12,4.27,73,0
13,9.75,51,1
2,11.77,46,1
5,4.19,69,0
17,3.59,69,0
18,3.52,69,0
4,12.48,40,1
14,8.52,55,0
1,4.67,65,0
9,11.8,52,1
23,3.18,75,0
17,9.44,44,1
12,10.64,41,1
4,13.17,40,1
22,8.43,53,0
23,7.83,56,0
0,3.54,73,0
21,11.08,48,1
0,2.0,76,1
17,9.95,57,1
14,3.87,61,0
16,6.42,61,0
10,1.56,72,1
20,2.8,79,1
21,9.19,41,1
16,13.04,30,1
12,9.37,53,1
0,1.68,81,1
1,8.9,57,0
8,7.27,54,0
2,8.12,63,0
0,10.18,43,1
20,9.86,57,1
15,8.55,49,0
22,13.12,39,1
5,5.53,67,0
16,4.44,59,0
4,5.66,70,0
4,5.25,62,0
5,3.28,71,0
2,8.99,59,0
20,4.54,62,0
22,4.77,71,0
4,2.69,80,1
20,11.16,43,1
4,3.22,77,0
9,6.03,53,0
9,8.85,55,0
18,8.48,48,0
16,13.12,45,1
20,3.84,73,0
13,8.79,64,0
8,12.7,49,1
13,0.37,78,1
0,3.47,64,0
18,4.18,70,0
12,1.57,75,1
12,8.16,63,0
3,5.03,54,0
0,10.44,60,1
16,7.06,61,0
7,13.91,34,1
1,12.6,46,1
7,4.6,73,0
6,12.26,44,1
1,8.93,44,0
21,3.59,68,0
21,3.07,76,0
2,3.82,71,0
17,4.97,64,0
11,9.05,59,1
0,7.53,61,0
21,1.36,80,1
11,3.08,69,0
4,7.38,55,0
16,4.23,59,0
15,4.25,66,0
14,9.95,55,1
22,3.84,67,0
14,5.23,67,0
4,5.31,70,0
20,5.6,65,0
13,5.09,67,0
1,6.04,55,0
10,4.89,64,0
18,3.84,77,0
6,4.22,68,0
5,10.58,58,1
1,9.49,48,1
5,3.97,69,0
17,4.26,65,0
1,13.58,42,1
17,4.33,71,0
14,1.99,77,1
18,11.13,52,1
1,12.42,43,1
19,8.84,53,0
5,10.87,39,1
0,7.91,59,0
23,6.12,63,0
14,8.9,53,0
22,3.44,69,0
9,14.65,36,1
18,14.49,35,1
16,7.25,56,0
4,12.43,44,1
3,0.16,82,1
9,12.68,38,1
23,2.08,72,1
16,7.03,58,0
9,5.46,64,0
16,6.44,60,0
19,12.24,47,1
23,13.04,33,1
4,14.61,30,1
1,1.19,77,1
5,9.87,47,1
20,9.56,56,1
1,13.34,46,1
12,9.74,52,1
10,9.17,47,1
10,3.1,76,0
15,9.09,54,1
10,3.04,63,0
18,13.59,32,1
14,12.48,50,1
22,0.4,86,1
22,0.46,66,1
15,0.2,73,1
10,5.38,70,0
21,5.22,64,0
15,14.26,41,1
7,1.0,77,1
3,5.8,66,0
7,4.23,67,0
3,2.76,70,1
23,2.28,78,1
2,0.54,79,1
2,2.09,77,1
17,8.16,56,0
18,4.89,63,0
18,14.1,46,1
20,1.05,79,1
4,5.1,63,0
17,13.65,45,1
9,5.78,56,0
21,8.01,67,0
20,8.4,54,0
5,4.74,59,0
0,9.41,61,1
4,6.05,60,0
8,14.64,37,1
11,9.46,55,1
13,6.47,66,0
1,5.56,65,0
16,8.34,52,0
13,11.62,46,1
12,9.39,50,1
8,9.74,52,1
14,10.96,55,1
21,13.25,44,1
14,4.08,69,0
23,11.62,49,1
10,4.98,69,0
15,9.04,47,1
16,5.2,65,0
3,7.62,70,0
0,1.42,82,1
7,14.09,35,1
16,10.66,45,1
2,4.19,64,0
19,9.55,56,1
14,14.94,43,1
14,7.06,62,0
23,3.54,70,0
21,4.63,64,0
13,0.97,79,1
22,2.68,68,1
13,5.27,54,0
23,11.95,52,1
1,14.64,31,1
12,5.48,62,0
13,9.45,55,1
23,8.97,60,0
18,5.98,63,0
6,8.06,50,0
2,4.15,66,0
14,7.34,55,0
22,9.97,50,1
13,12.66,48,1
10,4.9,53,0
14,2.15,71,1
12,5.97,60,0
17,8.14,49,0
5,5.4,67,0
2,8.28,48,0
18,7.55,51,0
14,5.82,67,0
22,10.87,55,1
4,1.51,75,1
9,5.49,57,0
6,7.34,54,0
16,9.3,57,1
6,6.44,61,0
21,8.86,53,0
11,8.32,57,0
16,7.28,58,0
12,1.86,82,1
19,11.32,42,1
3,3.85,64,0
9,6.74,53,0
2,1.2,74,1
8,6.61,55,0
12,10.88,48,1
17,4.1,68,0
14,10.09,44,1
3,3.04,74,0
14,4.88,73,0
21,0.05,82,1
1,9.6,38,1
14,6.88,69,0
7,8.68,58,0
7,8.1,65,0
16,4.83,71,0
11,8.1,62,0
18,9.35,53,1
9,4.03,67,0
8,1.19,78,1
4,4.04,64,0
5,10.12,52,1
19,5.2,51,0
1,0.31,79,1
23,1.79,81,1
12,4.85,66,0
5,0.53,87,1
4,1.52,74,1
0,10.43,54,1
20,0.69,74,1
21,7.13,63,0
20,5.48,65,0
5,1.87,73,1
5,12.33,30,1
22,3.27,69,0
15,8.52,56,0
3,9.76,55,1
10,3.86,76,0
23,9.3,62,1
22,3.13,77,0
8,9.48,49,1
22,14.79,34,1
2,14.6,40,1
18,6.28,64,0
7,3.67,77,0
4,7.48,70,0
3,9.8,62,1
23,1.0,84,1
5,1.19,79,1
1,4.8,72,0
19,1.18,85,1
10,11.14,46,1
3,8.26,53,0
14,4.76,62,0
5,7.47,53,0
21,14.67,30,1
16,9.16,54,1
23,6.92,54,0
5,12.63,38,1
18,7.59,61,0
1,8.69,55,0
14,2.73,74,1
10,9.87,57,1
7,0.01,84,1
18,8.15,63,0
12,2.97,71,1
11,13.54,47,1
4,0.47,80,1
5,5.12,65,0
21,0.38,86,1
3,7.68,53,0
18,11.53,56,1
19,12.44,41,1
0,14.4,31,1
19,3.93,71,0
16,6.62,58,0
11,2.95,81,1
