fecha,hora,temperatura,humedad,prediccion,modo
2026-06-05 10:17:14,10,5.62,63.0,0.47271957993507385,automatico
2026-06-05 10:17:16,10,5.47,56.0,0.47271957993507385,automatico
2026-06-05 10:17:19,10,10.25,59.0,0.47271957993507385,automatico
2026-06-05 10:17:21,10,9.77,47.0,0.47271957993507385,automatico
2026-06-05 10:17:23,10,11.29,41.0,0.47271957993507385,automatico
2026-06-05 10:17:25,10,5.2,52.0,0.47271957993507385,automatico
2026-06-05 10:17:27,10,7.83,41.0,0.47271957993507385,automatico
2026-06-05 10:17:30,10,10.57,71.0,0.47271957993507385,automatico
2026-06-05 10:17:32,10,10.42,46.0,0.47271957993507385,automatico
2026-06-05 10:17:34,10,10.42,61.0,0.47271957993507385,automatico
2026-06-05 10:17:36,10,7.26,43.0,0.47271957993507385,automatico
2026-06-05 10:17:38,10,8.63,74.0,0.47271957993507385,automatico
2026-06-05 10:17:41,10,9.35,41.0,0.47271957993507385,automatico
2026-06-05 10:17:43,10,7.81,41.0,0.47271957993507385,automatico
2026-06-05 10:17:45,10,10.31,59.0,0.47271957993507385,automatico
2026-06-05 10:17:47,10,6.56,63.0,0.47271957993507385,automatico
2026-06-05 10:17:49,10,11.11,75.0,0.47271957993507385,automatico
2026-06-05 10:17:52,10,7.67,77.0,0.47271957993507385,automatico
2026-06-05 10:17:54,10,8.48,77.0,0.47271957993507385,automatico
2026-06-05 10:17:56,10,7.47,58.0,0.47271957993507385,automatico
2026-06-05 10:17:58,10,8.69,65.0,0.47271957993507385,automatico
2026-06-05 10:18:00,10,11.13,71.0,0.47271957993507385,automatico
2026-06-05 10:18:03,10,9.27,77.0,0.47271957993507385,automatico
